IBI,HR,NO2,Noise,NH3,PM10,CO,PM25,Label,PM1,EDA,BVP
0,0.530220543,0.136227474,0.912791621,0.240730646,0.074172185,0.883151515,0.074172185,5,0.074172185,0,0
0,0.546224802,0.138557368,0.910231628,0.242692463,0.083443709,0.889939394,0.083443709,5,0.083443709,0,0
0,0.561705994,0.140887262,0.907671635,0.24465428,0.092715232,0.896727273,0.092715232,5,0.092715232,0,0
0,0.577443084,0.143217156,0.905111643,0.246616097,0.101986755,0.903515152,0.101986755,5,0.101986755,0,0
0,0.592372039,0.14554705,0.90255165,0.248577914,0.111258278,0.91030303,0.111258278,5,0.111258278,0,0
0,0.606449767,0.147876944,0.899991658,0.250539731,0.120529801,0.917090909,0.120529801,5,0.120529801,0,0
0,0.621096969,0.150206838,0.897431665,0.252501548,0.129801325,0.923878788,0.129801325,5,0.129801325,0,0
0,0.636390712,0.152536731,0.894871673,0.254463365,0.139072848,0.930666667,0.139072848,5,0.139072848,0,0
0,0.650219171,0.154866625,0.89231168,0.256425181,0.148344371,0.937454545,0.148344371,5,0.148344371,0,0
0,0.664454018,0.157196519,0.889751687,0.258386998,0.157615894,0.944242424,0.157615894,5,0.157615894,0,0
0,0.678816815,0.159526413,0.887191695,0.260348815,0.166887417,0.951030303,0.166887417,5,0.166887417,0,0
0,0.693179611,0.161856307,0.884631702,0.262310632,0.17615894,0.957818182,0.17615894,5,0.17615894,0,0
0,0.707369709,0.164186201,0.88207171,0.264272449,0.185430464,0.964606061,0.185430464,5,0.185430464,0,0
0,0.721699855,0.166516095,0.879511717,0.266234266,0.194701987,0.971393939,0.194701987,5,0.194701987,0,0
0,0.736579752,0.168845989,0.876951724,0.268196083,0.20397351,0.978181818,0.20397351,5,0.20397351,0,0
0,0.752246901,0.171175883,0.874391732,0.2701579,0.213245033,0.984969697,0.213245033,5,0.213245033,0,0
0,0.766841729,0.173505777,0.871831739,0.272119717,0.222516556,0.991757576,0.222516556,5,0.222516556,0,0
0,0.779657699,0.175835671,0.869271747,0.274081534,0.231788079,0.998545455,0.231788079,5,0.231788079,0,0
0,0.792002147,0.176881746,0.869548801,0.276459121,0.256512141,0.999272727,0.256512141,5,0.256512141,0,0
0,0.804141577,0.176881746,0.872137522,0.279175483,0.287417219,0.997575758,0.287417219,5,0.287417219,0,0
0,0.815733245,0.176881746,0.874726244,0.281891844,0.318322296,0.995878788,0.318322296,5,0.318322296,0,0
0,0.827394689,0.176881746,0.877314966,0.284608206,0.349227373,0.994181818,0.349227373,5,0.349227373,0,0
0,0.838405945,0.176881746,0.879903687,0.287324568,0.38013245,0.992484848,0.38013245,5,0.38013245,0,0
0,0.848597133,0.176881746,0.882492409,0.29004093,0.411037528,0.990787879,0.411037528,5,0.411037528,0,0
0,0.857285415,0.176881746,0.885081131,0.292757292,0.441942605,0.989090909,0.441942605,5,0.441942605,0,0
0,0.867573891,0.176881746,0.887669852,0.295473654,0.472847682,0.987393939,0.472847682,5,0.472847682,0,0
0,0.877050751,0.176881746,0.890258574,0.298190016,0.503752759,0.98569697,0.503752759,5,0.503752759,0,0
0,0.885943553,0.176881746,0.892847296,0.300906378,0.534657837,0.984,0.534657837,5,0.534657837,0,0
